n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max
4.800e+03	2.304e-01	2.300e-01	2.308e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.308e-01	3.829e-02	2.493e-02	5.225e-02	4.700e-02	2.585e-02	7.048e-02	3.442e-02	2.035e-02	5.435e-02
4.900e+03	2.304e-01	2.300e-01	2.308e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.301e-01	2.305e-01	3.829e-02	2.493e-02	5.225e-02	4.700e-02	2.585e-02	7.048e-02	3.442e-02	2.025e-02	5.435e-02
5.000e+03	2.304e-01	2.300e-01	2.308e-01	2.304e-01	2.301e-01	2.309e-01	2.303e-01	2.300e-01	2.305e-01	3.829e-02	2.493e-02	5.221e-02	4.700e-02	2.522e-02	7.048e-02	3.442e-02	2.025e-02	5.435e-02
5.100e+03	2.304e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.303e-01	2.300e-01	2.305e-01	3.815e-02	2.389e-02	5.168e-02	4.700e-02	2.522e-02	7.048e-02	3.372e-02	2.025e-02	5.435e-02
5.200e+03	2.304e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.303e-01	2.300e-01	2.305e-01	3.815e-02	2.389e-02	5.168e-02	4.700e-02	2.522e-02	7.048e-02	3.372e-02	2.025e-02	5.435e-02
5.300e+03	2.304e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.303e-01	2.300e-01	2.305e-01	3.408e-02	2.389e-02	5.168e-02	4.700e-02	2.522e-02	7.048e-02	3.372e-02	2.025e-02	5.435e-02
5.400e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.303e-01	2.300e-01	2.305e-01	3.408e-02	2.389e-02	5.168e-02	4.700e-02	2.522e-02	6.903e-02	3.372e-02	2.025e-02	5.435e-02
5.500e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.408e-02	2.389e-02	5.168e-02	4.700e-02	2.522e-02	6.903e-02	3.372e-02	2.025e-02	5.403e-02
5.600e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.633e-02	4.700e-02	2.522e-02	6.903e-02	3.372e-02	2.025e-02	5.403e-02
5.700e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.633e-02	4.624e-02	1.818e-02	6.731e-02	3.212e-02	2.025e-02	4.574e-02
5.800e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.633e-02	4.394e-02	1.818e-02	6.410e-02	3.212e-02	2.025e-02	4.574e-02
5.900e+03	2.303e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.633e-02	4.394e-02	1.818e-02	6.410e-02	3.212e-02	1.939e-02	4.574e-02
6.000e+03	2.302e-01	2.300e-01	2.307e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.633e-02	4.394e-02	1.818e-02	6.410e-02	3.212e-02	1.939e-02	4.574e-02
6.100e+03	2.302e-01	2.257e-01	2.305e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.352e-02	4.394e-02	1.818e-02	6.410e-02	3.212e-02	1.939e-02	4.574e-02
6.200e+03	2.302e-01	2.257e-01	2.305e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.352e-02	4.394e-02	1.818e-02	6.410e-02	3.018e-02	1.939e-02	4.167e-02
6.300e+03	2.301e-01	2.185e-01	2.304e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.352e-02	4.394e-02	1.818e-02	6.410e-02	3.018e-02	1.939e-02	4.167e-02
6.400e+03	2.301e-01	2.185e-01	2.304e-01	2.303e-01	2.301e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.352e-02	4.394e-02	1.818e-02	6.410e-02	3.018e-02	1.939e-02	3.733e-02
6.500e+03	2.301e-01	2.185e-01	2.304e-01	2.302e-01	2.300e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.297e-02	2.255e-02	4.352e-02	4.394e-02	1.818e-02	6.410e-02	3.018e-02	1.939e-02	3.733e-02
6.600e+03	2.301e-01	1.589e-01	2.304e-01	2.302e-01	2.300e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.296e-02	2.025e-02	4.209e-02	4.218e-02	1.660e-02	6.042e-02	3.018e-02	1.939e-02	3.733e-02
6.700e+03	2.301e-01	1.589e-01	2.303e-01	2.302e-01	2.300e-01	2.305e-01	2.302e-01	2.300e-01	2.304e-01	3.296e-02	2.025e-02	4.209e-02	4.218e-02	1.660e-02	6.042e-02	3.018e-02	1.939e-02	3.733e-02
