n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.max
1.360e+04	4.024e-01	3.674e-01	4.140e-01	3.060e-01	2.879e-01	3.502e-01	2.186e-01	1.864e-01	2.395e-01
1.370e+04	4.024e-01	3.674e-01	4.136e-01	3.060e-01	2.881e-01	3.502e-01	2.186e-01	1.862e-01	2.374e-01
1.380e+04	4.024e-01	3.688e-01	4.138e-01	3.093e-01	2.874e-01	3.507e-01	2.195e-01	1.867e-01	2.348e-01
1.390e+04	4.024e-01	3.688e-01	4.133e-01	3.105e-01	2.879e-01	3.500e-01	2.210e-01	1.855e-01	2.345e-01
1.400e+04	4.024e-01	3.693e-01	4.131e-01	3.105e-01	2.881e-01	3.500e-01	2.217e-01	1.860e-01	2.317e-01
1.410e+04	4.029e-01	3.693e-01	4.117e-01	3.117e-01	2.881e-01	3.507e-01	2.210e-01	1.855e-01	2.295e-01
1.420e+04	4.029e-01	3.695e-01	4.114e-01	3.124e-01	2.886e-01	3.517e-01	2.212e-01	1.852e-01	2.293e-01
1.430e+04	4.012e-01	3.705e-01	4.112e-01	3.131e-01	2.888e-01	3.529e-01	2.212e-01	1.855e-01	2.276e-01
1.440e+04	4.024e-01	3.710e-01	4.112e-01	3.143e-01	2.900e-01	3.529e-01	2.221e-01	1.843e-01	2.264e-01
1.450e+04	4.017e-01	3.714e-01	4.105e-01	3.167e-01	2.902e-01	3.529e-01	2.224e-01	1.840e-01	2.279e-01
1.460e+04	4.017e-01	3.731e-01	4.102e-01	3.167e-01	2.902e-01	3.543e-01	2.238e-01	1.845e-01	2.290e-01
1.470e+04	4.014e-01	3.731e-01	4.105e-01	3.179e-01	2.902e-01	3.550e-01	2.245e-01	1.838e-01	2.302e-01
1.480e+04	4.014e-01	3.733e-01	4.105e-01	3.188e-01	2.905e-01	3.548e-01	2.252e-01	1.843e-01	2.307e-01
1.490e+04	4.012e-01	3.733e-01	4.105e-01	3.219e-01	2.905e-01	3.557e-01	2.252e-01	1.855e-01	2.300e-01
1.500e+04	4.031e-01	3.745e-01	4.112e-01	3.231e-01	2.914e-01	3.555e-01	2.250e-01	1.869e-01	2.302e-01
1.510e+04	4.017e-01	3.748e-01	4.112e-01	3.267e-01	2.919e-01	3.543e-01	2.245e-01	1.860e-01	2.319e-01
1.520e+04	4.012e-01	3.779e-01	4.112e-01	3.274e-01	2.910e-01	3.540e-01	2.245e-01	1.852e-01	2.329e-01
1.530e+04	4.012e-01	3.779e-01	4.107e-01	3.312e-01	2.914e-01	3.540e-01	2.252e-01	1.845e-01	2.336e-01
1.540e+04	4.026e-01	3.779e-01	4.112e-01	3.324e-01	2.917e-01	3.538e-01	2.255e-01	1.852e-01	2.338e-01
1.550e+04	4.026e-01	3.774e-01	4.112e-01	3.333e-01	2.917e-01	3.538e-01	2.252e-01	1.843e-01	2.348e-01
1.560e+04	4.031e-01	3.774e-01	4.110e-01	3.333e-01	2.907e-01	3.543e-01	2.257e-01	1.860e-01	2.360e-01
1.570e+04	4.031e-01	3.783e-01	4.110e-01	3.355e-01	2.898e-01	3.536e-01	2.250e-01	1.869e-01	2.360e-01
1.580e+04	4.048e-01	3.788e-01	4.110e-01	3.369e-01	2.895e-01	3.536e-01	2.243e-01	1.888e-01	2.367e-01
1.590e+04	4.040e-01	3.788e-01	4.110e-01	3.383e-01	2.893e-01	3.536e-01	2.238e-01	1.902e-01	2.376e-01
1.600e+04	4.040e-01	3.790e-01	4.110e-01	3.383e-01	2.883e-01	3.548e-01	2.243e-01	1.914e-01	2.374e-01
1.610e+04	4.050e-01	3.793e-01	4.100e-01	3.369e-01	2.888e-01	3.548e-01	2.245e-01	1.921e-01	2.374e-01
1.620e+04	4.052e-01	3.800e-01	4.100e-01	3.371e-01	2.893e-01	3.545e-01	2.245e-01	1.926e-01	2.383e-01
1.630e+04	4.057e-01	3.800e-01	4.124e-01	3.357e-01	2.893e-01	3.552e-01	2.250e-01	1.929e-01	2.398e-01
1.640e+04	4.057e-01	3.800e-01	4.124e-01	3.355e-01	2.893e-01	3.576e-01	2.250e-01	1.933e-01	2.398e-01
1.650e+04	4.060e-01	3.807e-01	4.121e-01	3.357e-01	2.893e-01	3.576e-01	2.255e-01	1.945e-01	2.400e-01
1.660e+04	4.060e-01	3.807e-01	4.117e-01	3.357e-01	2.898e-01	3.586e-01	2.267e-01	1.948e-01	2.410e-01
1.670e+04	4.067e-01	3.807e-01	4.112e-01	3.357e-01	2.895e-01	3.579e-01	2.267e-01	1.950e-01	2.410e-01
1.680e+04	4.067e-01	3.812e-01	4.119e-01	3.364e-01	2.886e-01	3.586e-01	2.267e-01	1.952e-01	2.414e-01
1.690e+04	4.069e-01	3.812e-01	4.119e-01	3.362e-01	2.867e-01	3.576e-01	2.269e-01	1.969e-01	2.414e-01
1.700e+04	4.064e-01	3.810e-01	4.131e-01	3.367e-01	2.867e-01	3.595e-01	2.269e-01	1.967e-01	2.419e-01
1.710e+04	4.069e-01	3.812e-01	4.131e-01	3.367e-01	2.864e-01	3.595e-01	2.271e-01	1.964e-01	2.426e-01
1.720e+04	4.064e-01	3.805e-01	4.136e-01	3.357e-01	2.864e-01	3.600e-01	2.271e-01	1.955e-01	2.426e-01
1.730e+04	4.062e-01	3.817e-01	4.136e-01	3.367e-01	2.867e-01	3.598e-01	2.274e-01	1.962e-01	2.421e-01
1.740e+04	4.062e-01	3.831e-01	4.136e-01	3.362e-01	2.867e-01	3.600e-01	2.269e-01	1.960e-01	2.419e-01
1.750e+04	4.062e-01	3.831e-01	4.138e-01	3.343e-01	2.862e-01	3.598e-01	2.269e-01	1.960e-01	2.424e-01
1.760e+04	4.062e-01	3.831e-01	4.138e-01	3.343e-01	2.852e-01	3.600e-01	2.269e-01	1.960e-01	2.426e-01
1.770e+04	4.074e-01	3.836e-01	4.138e-01	3.345e-01	2.838e-01	3.614e-01	2.269e-01	1.962e-01	2.429e-01
1.780e+04	4.079e-01	3.836e-01	4.138e-01	3.345e-01	2.836e-01	3.617e-01	2.274e-01	1.981e-01	2.433e-01
1.790e+04	4.081e-01	3.840e-01	4.150e-01	3.345e-01	2.829e-01	3.617e-01	2.279e-01	1.988e-01	2.421e-01
1.800e+04	4.081e-01	3.845e-01	4.167e-01	3.343e-01	2.833e-01	3.619e-01	2.274e-01	1.988e-01	2.424e-01
1.810e+04	4.071e-01	3.845e-01	4.167e-01	3.338e-01	2.833e-01	3.602e-01	2.283e-01	1.988e-01	2.426e-01
1.820e+04	4.076e-01	3.848e-01	4.186e-01	3.338e-01	2.833e-01	3.610e-01	2.286e-01	1.995e-01	2.438e-01
1.830e+04	4.076e-01	3.850e-01	4.190e-01	3.331e-01	2.838e-01	3.614e-01	2.286e-01	1.995e-01	2.440e-01
1.840e+04	4.083e-01	3.857e-01	4.190e-01	3.319e-01	2.836e-01	3.617e-01	2.286e-01	2.002e-01	2.440e-01
1.850e+04	4.088e-01	3.869e-01	4.190e-01	3.305e-01	2.845e-01	3.624e-01	2.286e-01	2.002e-01	2.440e-01
1.860e+04	4.083e-01	3.883e-01	4.190e-01	3.300e-01	2.843e-01	3.629e-01	2.286e-01	2.007e-01	2.433e-01
1.870e+04	4.083e-01	3.883e-01	4.190e-01	3.300e-01	2.838e-01	3.629e-01	2.286e-01	2.014e-01	2.445e-01
1.880e+04	4.083e-01	3.883e-01	4.186e-01	3.305e-01	2.833e-01	3.619e-01	2.288e-01	2.024e-01	2.460e-01
1.890e+04	4.083e-01	3.883e-01	4.186e-01	3.302e-01	2.824e-01	3.626e-01	2.286e-01	2.014e-01	2.469e-01
1.900e+04	4.083e-01	3.886e-01	4.186e-01	3.295e-01	2.826e-01	3.626e-01	2.288e-01	2.021e-01	2.488e-01
1.910e+04	4.083e-01	3.886e-01	4.186e-01	3.295e-01	2.826e-01	3.631e-01	2.288e-01	2.031e-01	2.490e-01
1.920e+04	4.083e-01	3.886e-01	4.169e-01	3.295e-01	2.824e-01	3.631e-01	2.288e-01	2.031e-01	2.502e-01
1.930e+04	4.076e-01	3.890e-01	4.169e-01	3.298e-01	2.819e-01	3.619e-01	2.286e-01	2.029e-01	2.507e-01
1.940e+04	4.076e-01	3.890e-01	4.174e-01	3.298e-01	2.819e-01	3.621e-01	2.286e-01	2.029e-01	2.505e-01
1.950e+04	4.076e-01	3.890e-01	4.174e-01	3.295e-01	2.814e-01	3.629e-01	2.286e-01	2.036e-01	2.505e-01
1.960e+04	4.076e-01	3.890e-01	4.174e-01	3.300e-01	2.810e-01	3.626e-01	2.283e-01	2.040e-01	2.505e-01
1.970e+04	4.076e-01	3.900e-01	4.171e-01	3.286e-01	2.814e-01	3.633e-01	2.283e-01	2.052e-01	2.507e-01
1.980e+04	4.076e-01	3.902e-01	4.171e-01	3.283e-01	2.817e-01	3.643e-01	2.279e-01	2.052e-01	2.505e-01
1.990e+04	4.071e-01	3.902e-01	4.164e-01	3.290e-01	2.826e-01	3.650e-01	2.279e-01	2.062e-01	2.502e-01
2.000e+04	4.074e-01	3.895e-01	4.167e-01	3.288e-01	2.831e-01	3.655e-01	2.281e-01	2.062e-01	2.505e-01
