n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
1.040e+04	9.650e-03	8.600e-03	1.019e-02	2.069e-02	1.885e-02	2.516e-02	3.002e-02	1.955e-02	3.636e-02
1.050e+04	9.650e-03	8.637e-03	1.019e-02	2.071e-02	1.914e-02	2.517e-02	3.023e-02	1.955e-02	3.492e-02
1.060e+04	9.650e-03	8.637e-03	1.005e-02	2.123e-02	1.913e-02	2.477e-02	3.068e-02	1.950e-02	3.476e-02
1.070e+04	9.828e-03	8.637e-03	1.045e-02	2.161e-02	1.797e-02	2.569e-02	3.018e-02	1.988e-02	3.475e-02
1.080e+04	9.680e-03	8.637e-03	1.084e-02	2.113e-02	1.786e-02	2.527e-02	3.041e-02	1.967e-02	3.533e-02
1.090e+04	9.704e-03	8.627e-03	1.084e-02	2.091e-02	1.785e-02	2.502e-02	3.052e-02	1.967e-02	3.521e-02
1.100e+04	9.726e-03	8.757e-03	1.095e-02	2.152e-02	1.748e-02	2.527e-02	3.031e-02	2.002e-02	3.410e-02
1.110e+04	9.747e-03	8.647e-03	1.095e-02	2.076e-02	1.748e-02	2.515e-02	3.047e-02	2.009e-02	3.410e-02
1.120e+04	9.685e-03	8.647e-03	1.069e-02	2.044e-02	1.748e-02	2.602e-02	3.065e-02	2.009e-02	3.414e-02
1.130e+04	9.671e-03	8.534e-03	1.069e-02	2.037e-02	1.724e-02	2.614e-02	3.065e-02	1.977e-02	3.367e-02
1.140e+04	9.863e-03	8.534e-03	1.069e-02	2.016e-02	1.671e-02	2.525e-02	3.049e-02	1.988e-02	3.363e-02
1.150e+04	9.871e-03	8.534e-03	1.070e-02	2.004e-02	1.683e-02	2.525e-02	2.973e-02	1.827e-02	3.363e-02
1.160e+04	9.877e-03	8.366e-03	1.070e-02	1.999e-02	1.662e-02	2.517e-02	3.006e-02	1.836e-02	3.383e-02
1.170e+04	9.882e-03	8.313e-03	1.070e-02	2.036e-02	1.661e-02	2.517e-02	3.031e-02	1.786e-02	3.489e-02
1.180e+04	1.003e-02	8.313e-03	1.055e-02	2.052e-02	1.695e-02	2.555e-02	3.072e-02	1.884e-02	3.605e-02
1.190e+04	1.017e-02	8.313e-03	1.060e-02	2.065e-02	1.704e-02	2.555e-02	3.072e-02	1.901e-02	3.661e-02
1.200e+04	1.017e-02	8.646e-03	1.056e-02	2.065e-02	1.736e-02	2.486e-02	3.072e-02	1.901e-02	3.682e-02
1.210e+04	1.030e-02	8.646e-03	1.056e-02	2.121e-02	1.671e-02	2.486e-02	3.060e-02	2.028e-02	3.423e-02
1.220e+04	1.051e-02	8.751e-03	1.070e-02	2.129e-02	1.656e-02	2.486e-02	3.054e-02	2.100e-02	3.352e-02
1.230e+04	9.125e-03	8.600e-03	1.051e-02	2.129e-02	1.568e-02	2.453e-02	3.050e-02	2.181e-02	3.284e-02
1.240e+04	9.322e-03	8.614e-03	1.067e-02	2.131e-02	1.548e-02	2.453e-02	3.043e-02	2.200e-02	3.252e-02
1.250e+04	9.340e-03	8.455e-03	1.042e-02	2.143e-02	1.548e-02	2.456e-02	2.996e-02	2.200e-02	3.289e-02
1.260e+04	9.340e-03	8.195e-03	1.043e-02	2.102e-02	1.538e-02	2.339e-02	2.993e-02	2.178e-02	3.324e-02
1.270e+04	9.221e-03	8.195e-03	1.071e-02	2.121e-02	1.557e-02	2.339e-02	2.985e-02	2.183e-02	3.367e-02
1.280e+04	9.236e-03	8.161e-03	1.071e-02	2.080e-02	1.528e-02	2.357e-02	2.982e-02	2.191e-02	3.389e-02
1.290e+04	9.260e-03	8.161e-03	1.084e-02	2.099e-02	1.528e-02	2.342e-02	2.962e-02	2.185e-02	3.413e-02
1.300e+04	9.295e-03	8.354e-03	1.097e-02	2.076e-02	1.528e-02	2.357e-02	2.983e-02	2.208e-02	3.429e-02
1.310e+04	9.143e-03	8.438e-03	1.109e-02	2.082e-02	1.478e-02	2.357e-02	2.964e-02	2.210e-02	3.481e-02
1.320e+04	9.132e-03	8.393e-03	1.155e-02	2.082e-02	1.411e-02	2.380e-02	2.898e-02	2.210e-02	3.479e-02
1.330e+04	9.125e-03	8.393e-03	1.154e-02	2.065e-02	1.405e-02	2.330e-02	2.870e-02	2.225e-02	3.483e-02
1.340e+04	9.270e-03	8.467e-03	1.153e-02	2.046e-02	1.399e-02	2.330e-02	2.896e-02	2.221e-02	3.486e-02
1.350e+04	9.401e-03	8.393e-03	1.170e-02	2.010e-02	1.372e-02	2.342e-02	2.862e-02	2.220e-02	3.477e-02
1.360e+04	9.401e-03	8.515e-03	1.150e-02	2.008e-02	1.260e-02	2.342e-02	2.829e-02	2.220e-02	3.440e-02
1.370e+04	9.236e-03	8.600e-03	1.130e-02	1.992e-02	1.201e-02	2.351e-02	2.715e-02	2.220e-02	3.379e-02
1.380e+04	9.358e-03	8.585e-03	1.130e-02	2.106e-02	1.150e-02	2.312e-02	2.704e-02	2.189e-02	3.369e-02
1.390e+04	9.101e-03	8.400e-03	1.129e-02	2.105e-02	1.158e-02	2.312e-02	2.724e-02	2.200e-02	3.322e-02
1.400e+04	9.255e-03	8.461e-03	1.129e-02	2.105e-02	1.138e-02	2.312e-02	2.747e-02	2.200e-02	3.244e-02
1.410e+04	9.407e-03	8.400e-03	1.100e-02	2.091e-02	1.080e-02	2.312e-02	2.720e-02	2.187e-02	3.206e-02
1.420e+04	1.014e-02	8.400e-03	1.100e-02	2.113e-02	1.079e-02	2.259e-02	2.731e-02	2.182e-02	3.173e-02
1.430e+04	1.015e-02	8.381e-03	1.100e-02	2.149e-02	1.078e-02	2.259e-02	2.712e-02	2.196e-02	3.045e-02
1.440e+04	9.733e-03	8.381e-03	1.092e-02	2.172e-02	1.091e-02	2.259e-02	2.714e-02	2.138e-02	2.977e-02
1.450e+04	9.733e-03	8.400e-03	1.083e-02	2.185e-02	1.100e-02	2.248e-02	2.658e-02	1.963e-02	2.979e-02
1.460e+04	9.871e-03	8.381e-03	1.072e-02	2.099e-02	1.105e-02	2.238e-02	2.642e-02	1.986e-02	2.945e-02
1.470e+04	1.013e-02	8.381e-03	1.072e-02	2.043e-02	1.123e-02	2.296e-02	2.610e-02	2.045e-02	2.874e-02
1.480e+04	1.025e-02	8.381e-03	1.072e-02	1.980e-02	1.123e-02	2.296e-02	2.580e-02	2.053e-02	2.915e-02
1.490e+04	1.022e-02	8.585e-03	1.066e-02	1.945e-02	1.116e-02	2.306e-02	2.503e-02	2.023e-02	2.886e-02
1.500e+04	1.010e-02	8.735e-03	1.041e-02	1.959e-02	1.123e-02	2.308e-02	2.429e-02	1.935e-02	2.841e-02
1.510e+04	1.010e-02	8.809e-03	1.041e-02	1.945e-02	1.121e-02	2.273e-02	2.345e-02	1.956e-02	2.782e-02
1.520e+04	1.012e-02	8.809e-03	1.041e-02	1.995e-02	1.121e-02	2.281e-02	2.255e-02	1.961e-02	2.784e-02
1.530e+04	1.000e-02	8.434e-03	1.041e-02	2.021e-02	1.109e-02	2.281e-02	2.311e-02	1.893e-02	2.789e-02
1.540e+04	1.000e-02	8.418e-03	1.052e-02	2.007e-02	1.126e-02	2.297e-02	2.298e-02	1.835e-02	2.700e-02
1.550e+04	9.906e-03	8.418e-03	1.052e-02	1.957e-02	1.100e-02	2.297e-02	2.365e-02	1.839e-02	2.676e-02
