n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
6.800e+03	2.517e-02	1.976e-02	2.887e-02	3.276e-02	2.619e-02	4.318e-02	3.785e-02	3.476e-02	3.965e-02
6.900e+03	2.521e-02	2.034e-02	2.933e-02	3.261e-02	2.982e-02	4.305e-02	3.844e-02	3.440e-02	3.914e-02
7.000e+03	2.517e-02	2.033e-02	2.878e-02	3.217e-02	2.981e-02	4.331e-02	3.869e-02	3.291e-02	3.959e-02
7.100e+03	2.539e-02	1.966e-02	2.941e-02	3.156e-02	2.963e-02	4.277e-02	3.898e-02	3.291e-02	3.948e-02
7.200e+03	2.558e-02	1.961e-02	2.897e-02	3.120e-02	2.787e-02	4.275e-02	3.822e-02	3.270e-02	3.966e-02
7.300e+03	2.558e-02	1.912e-02	2.708e-02	3.120e-02	2.776e-02	4.232e-02	3.889e-02	3.285e-02	4.027e-02
7.400e+03	2.497e-02	1.960e-02	2.606e-02	3.116e-02	2.816e-02	4.251e-02	3.917e-02	3.255e-02	4.084e-02
7.500e+03	2.345e-02	1.895e-02	2.597e-02	3.111e-02	2.817e-02	4.288e-02	3.677e-02	3.273e-02	4.074e-02
7.600e+03	2.345e-02	1.895e-02	2.566e-02	3.006e-02	2.817e-02	4.305e-02	3.687e-02	3.289e-02	4.125e-02
7.700e+03	2.345e-02	1.904e-02	2.566e-02	3.006e-02	2.776e-02	4.305e-02	3.765e-02	3.213e-02	4.100e-02
7.800e+03	2.224e-02	1.872e-02	2.566e-02	3.006e-02	2.623e-02	4.266e-02	3.765e-02	3.266e-02	4.074e-02
7.900e+03	2.204e-02	1.860e-02	2.566e-02	2.959e-02	2.623e-02	4.253e-02	3.795e-02	3.284e-02	4.120e-02
8.000e+03	2.185e-02	1.829e-02	2.566e-02	2.984e-02	2.610e-02	4.154e-02	3.855e-02	3.293e-02	4.100e-02
8.100e+03	2.078e-02	1.781e-02	2.588e-02	3.127e-02	2.606e-02	4.138e-02	3.837e-02	3.291e-02	4.220e-02
8.200e+03	2.174e-02	1.802e-02	2.553e-02	3.128e-02	2.606e-02	4.046e-02	3.807e-02	3.293e-02	4.220e-02
8.300e+03	2.174e-02	1.802e-02	2.552e-02	3.144e-02	2.593e-02	3.911e-02	3.823e-02	3.280e-02	4.247e-02
8.400e+03	2.178e-02	1.762e-02	2.508e-02	3.313e-02	2.593e-02	3.852e-02	3.766e-02	3.278e-02	4.247e-02
8.500e+03	2.005e-02	1.762e-02	2.335e-02	3.313e-02	2.630e-02	3.761e-02	3.766e-02	3.245e-02	4.218e-02
8.600e+03	2.059e-02	1.813e-02	2.357e-02	3.291e-02	2.616e-02	3.755e-02	3.804e-02	3.198e-02	4.222e-02
8.700e+03	2.073e-02	1.827e-02	2.285e-02	3.266e-02	2.616e-02	3.811e-02	3.811e-02	3.242e-02	4.103e-02
8.800e+03	2.061e-02	1.822e-02	2.314e-02	3.268e-02	2.588e-02	3.787e-02	3.704e-02	3.116e-02	3.912e-02
8.900e+03	2.054e-02	1.813e-02	2.338e-02	3.286e-02	2.588e-02	3.783e-02	3.670e-02	3.028e-02	3.785e-02
9.000e+03	2.073e-02	1.800e-02	2.342e-02	3.314e-02	2.580e-02	3.714e-02	3.735e-02	3.060e-02	3.843e-02
9.100e+03	2.045e-02	1.852e-02	2.354e-02	3.351e-02	2.679e-02	3.709e-02	3.705e-02	3.104e-02	3.843e-02
9.200e+03	2.034e-02	1.816e-02	2.350e-02	3.256e-02	2.634e-02	3.756e-02	3.459e-02	3.117e-02	3.943e-02
9.300e+03	2.017e-02	1.816e-02	2.266e-02	3.287e-02	2.632e-02	3.756e-02	3.468e-02	3.118e-02	3.889e-02
9.400e+03	1.890e-02	1.822e-02	2.249e-02	3.259e-02	2.643e-02	3.756e-02	3.554e-02	3.010e-02	3.902e-02
9.500e+03	1.890e-02	1.809e-02	2.230e-02	3.206e-02	2.683e-02	3.753e-02	3.650e-02	2.921e-02	4.081e-02
9.600e+03	1.890e-02	1.809e-02	2.236e-02	3.206e-02	2.749e-02	3.744e-02	3.665e-02	2.960e-02	4.276e-02
9.700e+03	2.075e-02	1.840e-02	2.261e-02	3.131e-02	2.742e-02	3.752e-02	3.600e-02	2.839e-02	4.376e-02
9.800e+03	2.075e-02	1.840e-02	2.299e-02	3.104e-02	2.766e-02	3.675e-02	3.600e-02	2.839e-02	4.407e-02
