run.problem.name;run.solver.name;run.randomGenerator.seed;run.problem.simulation.arena;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→quality→behavior.quality→first.agent.velocity.x;best→genotype→size;best→genotype→first→size;best→genotype→second→size;best→body.epistasis;best→brain.epistasis;best→global.epistasis;best→cross.epistasis;all→each[body.epistasis]→avg;all→each[brain.epistasis]→avg;all→each[global.epistasis]→avg;all→each[cross.epistasis]→avg;all→each[body.epistasis]→sd;all→each[brain.epistasis]→sd;all→each[global.epistasis]→sd;all→each[cross.epistasis]→sd
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;20;2000;2000;7.03200e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.73810e-01;3.67381e-01;5.69762e-01;3.98333e-01;4.14450e-02;3.85766e-02;1.67532e-02;5.67302e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;20;2000;2000;7.20310e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.89048e-01;3.65238e-01;5.80714e-01;4.07143e-01;4.18154e-02;4.50774e-02;2.01032e-02;4.40959e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;21;2100;2100;7.38210e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.74524e-01;3.67857e-01;5.69286e-01;3.96190e-01;4.13567e-02;3.84470e-02;1.63559e-02;5.64963e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;21;2100;2100;7.59140e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.87381e-01;3.66190e-01;5.79881e-01;4.06190e-01;4.13567e-02;4.58950e-02;2.00124e-02;4.54032e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;22;2200;2200;7.76240e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.77619e-01;3.70476e-01;5.69405e-01;3.90714e-01;4.04089e-02;3.63156e-02;1.55269e-02;5.39899e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;22;2200;2200;7.94300e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.87381e-01;3.64524e-01;5.79405e-01;4.06905e-01;4.10816e-02;4.57608e-02;2.02769e-02;4.54375e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;23;2300;2300;8.12860e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.76667e-01;3.73810e-01;5.70000e-01;3.89524e-01;4.18371e-02;3.53954e-02;1.40133e-02;5.31886e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;23;2300;2300;8.30460e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.89524e-01;3.63571e-01;5.80595e-01;4.08095e-01;4.03387e-02;4.43976e-02;1.98388e-02;4.42908e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;24;2400;2400;8.48350e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.77619e-01;3.74048e-01;5.69762e-01;3.87857e-01;4.15161e-02;3.45517e-02;1.41882e-02;5.18693e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;24;2400;2400;8.67280e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.90000e-01;3.64286e-01;5.80952e-01;4.07619e-01;3.98096e-02;4.48606e-02;2.05508e-02;4.59567e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;25;2500;2500;8.85710e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.78810e-01;3.74048e-01;5.69643e-01;3.86429e-01;4.12524e-02;3.58403e-02;1.44215e-02;5.26890e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;25;2500;2500;9.02950e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.87143e-01;3.62857e-01;5.81190e-01;4.12381e-01;3.75889e-02;4.35291e-02;2.01595e-02;4.38871e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;26;2600;2600;9.20970e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.76667e-01;3.75476e-01;5.69643e-01;3.87143e-01;4.25092e-02;3.63990e-02;1.45194e-02;5.23398e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;26;2600;2600;9.38930e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.87143e-01;3.60000e-01;5.81190e-01;4.15238e-01;3.57333e-02;4.27618e-02;1.97332e-02;4.14204e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;27;2700;2700;9.56680e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.77619e-01;3.75476e-01;5.69881e-01;3.86667e-01;4.20587e-02;3.63990e-02;1.43505e-02;5.23939e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;27;2700;2700;9.76470e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.83571e-01;3.60000e-01;5.80714e-01;4.17857e-01;3.64052e-02;3.93081e-02;2.02437e-02;4.18364e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;28;2800;2800;9.96390e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.80714e-01;3.74524e-01;5.70119e-01;3.85000e-01;4.06153e-02;3.62429e-02;1.45701e-02;5.14038e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;28;2800;2800;1.01245e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.84048e-01;3.58810e-01;5.80238e-01;4.17619e-01;3.57389e-02;3.72305e-02;1.98934e-02;4.15706e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;29;2900;2900;1.03163e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.84762e-01;3.75952e-01;5.70000e-01;3.79286e-01;4.22872e-02;3.66226e-02;1.48003e-02;4.88246e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;29;2900;2900;1.04946e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.81429e-01;3.58333e-01;5.80238e-01;4.20714e-01;3.43353e-02;3.70963e-02;1.98934e-02;3.91310e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;30;3000;3000;1.06746e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.88333e-01;3.77381e-01;5.70833e-01;3.75952e-01;4.16081e-02;3.60107e-02;1.44215e-02;4.78915e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;30;3000;3000;1.08695e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.09524e-01;3.33333e-01;5.59524e-01;4.76190e-01;3.79762e-01;3.57143e-01;5.80119e-01;4.23333e-01;3.56944e-02;3.48303e-02;1.99102e-02;3.72800e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;31;3100;3100;1.10559e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.89762e-01;3.78571e-01;5.70833e-01;3.73333e-01;3.95059e-02;3.49116e-02;1.41236e-02;4.72462e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;31;3100;3100;1.12246e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.09524e-01;3.33333e-01;5.59524e-01;4.76190e-01;3.81667e-01;3.55476e-01;5.80119e-01;4.23095e-01;3.55480e-02;3.40493e-02;1.91851e-02;3.71696e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;32;3200;3200;1.14022e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.57143e-01;5.47619e-01;3.57143e-01;3.90238e-01;3.78333e-01;5.71429e-01;3.74286e-01;3.93967e-02;3.43212e-02;1.37808e-02;4.64231e-02
