n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
6.700e+03	3.145e-02	2.583e-02	4.080e-02	5.200e-02	3.398e-02	5.607e-02	4.295e-02	3.494e-02	4.693e-02
6.800e+03	2.918e-02	2.535e-02	3.976e-02	5.231e-02	3.455e-02	5.589e-02	4.325e-02	3.464e-02	4.784e-02
6.900e+03	2.972e-02	2.539e-02	3.873e-02	5.199e-02	3.477e-02	5.564e-02	4.189e-02	3.424e-02	4.786e-02
7.000e+03	2.953e-02	2.540e-02	3.757e-02	5.210e-02	3.478e-02	5.482e-02	4.109e-02	3.326e-02	4.709e-02
7.100e+03	3.006e-02	2.659e-02	3.711e-02	4.918e-02	3.439e-02	5.611e-02	4.239e-02	3.348e-02	4.766e-02
7.200e+03	2.955e-02	2.644e-02	3.648e-02	4.885e-02	3.505e-02	5.594e-02	4.345e-02	3.373e-02	4.730e-02
7.300e+03	2.970e-02	2.610e-02	3.538e-02	4.885e-02	3.245e-02	5.594e-02	4.578e-02	3.373e-02	4.691e-02
7.400e+03	2.960e-02	2.616e-02	3.399e-02	4.885e-02	3.306e-02	5.293e-02	4.578e-02	3.344e-02	4.743e-02
7.500e+03	2.957e-02	2.425e-02	3.306e-02	4.792e-02	3.165e-02	4.984e-02	4.714e-02	3.240e-02	4.777e-02
7.600e+03	2.914e-02	2.440e-02	3.235e-02	4.766e-02	3.203e-02	4.984e-02	4.727e-02	3.245e-02	4.892e-02
7.700e+03	2.914e-02	2.420e-02	3.128e-02	4.713e-02	3.178e-02	5.011e-02	4.708e-02	3.230e-02	4.899e-02
