n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.max
1.320e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.330e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.340e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.350e+04	3.810e-01	3.095e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.360e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.905e-01
1.370e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
1.380e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
1.390e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
1.400e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.429e-01
1.410e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.429e-01
1.420e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.429e-01
1.430e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.429e-01
1.440e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.429e-01
