n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.max
1.360e+04	2.032e-02	1.829e-02	2.153e-02	2.807e-02	2.440e-02	4.468e-02	2.952e-02	2.635e-02	3.808e-02
1.370e+04	1.973e-02	1.841e-02	2.153e-02	2.818e-02	2.458e-02	4.468e-02	2.904e-02	2.591e-02	3.971e-02
1.380e+04	1.988e-02	1.860e-02	2.153e-02	2.839e-02	2.345e-02	4.481e-02	2.904e-02	2.591e-02	3.998e-02
1.390e+04	1.988e-02	1.860e-02	2.153e-02	2.835e-02	2.291e-02	4.357e-02	2.884e-02	2.606e-02	3.956e-02
1.400e+04	1.994e-02	1.829e-02	2.153e-02	2.882e-02	2.291e-02	4.357e-02	2.884e-02	2.486e-02	4.035e-02
1.410e+04	1.994e-02	1.829e-02	2.153e-02	2.841e-02	2.159e-02	4.304e-02	2.700e-02	2.226e-02	3.974e-02
1.420e+04	1.994e-02	1.829e-02	2.153e-02	2.754e-02	2.166e-02	4.316e-02	2.675e-02	2.226e-02	3.975e-02
1.430e+04	1.959e-02	1.829e-02	2.174e-02	2.801e-02	2.318e-02	4.328e-02	2.692e-02	2.097e-02	3.961e-02
1.440e+04	1.959e-02	1.829e-02	2.174e-02	2.837e-02	2.508e-02	4.338e-02	2.561e-02	2.006e-02	3.910e-02
1.450e+04	1.942e-02	1.829e-02	2.195e-02	2.859e-02	2.504e-02	4.322e-02	2.543e-02	1.992e-02	3.897e-02
1.460e+04	1.960e-02	1.829e-02	2.246e-02	2.887e-02	2.473e-02	4.322e-02	2.491e-02	2.020e-02	3.832e-02
1.470e+04	1.960e-02	1.829e-02	2.231e-02	2.904e-02	2.497e-02	4.306e-02	2.500e-02	2.017e-02	3.665e-02
1.480e+04	1.954e-02	1.797e-02	2.241e-02	2.931e-02	2.508e-02	4.334e-02	2.533e-02	1.957e-02	3.656e-02
1.490e+04	1.949e-02	1.797e-02	2.247e-02	2.882e-02	2.520e-02	4.316e-02	2.500e-02	2.007e-02	3.600e-02
1.500e+04	1.960e-02	1.787e-02	2.176e-02	2.882e-02	2.531e-02	4.317e-02	2.444e-02	2.007e-02	3.619e-02
1.510e+04	1.916e-02	1.787e-02	2.176e-02	2.883e-02	2.039e-02	4.317e-02	2.504e-02	1.965e-02	3.619e-02
1.520e+04	1.806e-02	1.766e-02	2.176e-02	2.883e-02	2.039e-02	4.307e-02	2.522e-02	2.003e-02	3.561e-02
1.530e+04	1.806e-02	1.700e-02	2.156e-02	2.865e-02	1.882e-02	4.236e-02	2.522e-02	2.062e-02	3.561e-02
1.540e+04	1.806e-02	1.700e-02	2.132e-02	2.882e-02	1.895e-02	4.089e-02	2.627e-02	2.089e-02	3.489e-02
1.550e+04	1.810e-02	1.699e-02	2.132e-02	2.903e-02	1.899e-02	4.089e-02	2.631e-02	2.089e-02	3.377e-02
1.560e+04	1.810e-02	1.664e-02	2.132e-02	2.903e-02	1.886e-02	4.088e-02	2.676e-02	2.077e-02	3.189e-02
1.570e+04	1.775e-02	1.664e-02	2.132e-02	2.905e-02	1.866e-02	4.088e-02	2.552e-02	2.067e-02	3.189e-02
1.580e+04	1.778e-02	1.664e-02	2.132e-02	2.887e-02	1.905e-02	4.056e-02	2.530e-02	1.998e-02	3.123e-02
1.590e+04	1.778e-02	1.664e-02	2.156e-02	2.867e-02	1.866e-02	4.056e-02	2.508e-02	1.994e-02	3.116e-02
1.600e+04	1.829e-02	1.664e-02	2.179e-02	2.865e-02	1.876e-02	3.414e-02	2.508e-02	1.995e-02	3.111e-02
1.610e+04	1.841e-02	1.664e-02	2.210e-02	2.882e-02	1.876e-02	3.407e-02	2.508e-02	2.077e-02	2.972e-02
1.620e+04	1.829e-02	1.664e-02	2.171e-02	2.887e-02	1.896e-02	3.408e-02	2.428e-02	2.059e-02	2.972e-02
1.630e+04	1.829e-02	1.664e-02	2.171e-02	2.887e-02	1.906e-02	3.408e-02	2.546e-02	2.066e-02	2.972e-02
1.640e+04	1.829e-02	1.664e-02	2.171e-02	2.905e-02	1.934e-02	3.417e-02	2.544e-02	2.023e-02	2.967e-02
1.650e+04	1.858e-02	1.664e-02	2.197e-02	2.923e-02	1.963e-02	3.417e-02	2.546e-02	2.031e-02	2.882e-02
1.660e+04	1.852e-02	1.664e-02	2.197e-02	2.902e-02	1.930e-02	3.399e-02	2.582e-02	2.048e-02	2.839e-02
1.670e+04	1.827e-02	1.664e-02	2.197e-02	2.902e-02	1.916e-02	3.399e-02	2.579e-02	2.103e-02	2.863e-02
1.680e+04	1.828e-02	1.699e-02	2.197e-02	2.925e-02	1.886e-02	3.511e-02	2.579e-02	2.102e-02	2.863e-02
1.690e+04	1.828e-02	1.699e-02	2.211e-02	2.975e-02	1.848e-02	3.627e-02	2.548e-02	2.208e-02	2.869e-02
1.700e+04	1.811e-02	1.696e-02	2.228e-02	2.987e-02	1.943e-02	3.627e-02	2.548e-02	2.310e-02	2.898e-02
1.710e+04	1.844e-02	1.664e-02	2.198e-02	2.987e-02	1.943e-02	3.656e-02	2.548e-02	2.462e-02	2.898e-02
1.720e+04	1.827e-02	1.664e-02	2.178e-02	3.053e-02	1.870e-02	3.677e-02	2.585e-02	2.489e-02	2.898e-02
1.730e+04	1.827e-02	1.733e-02	2.178e-02	3.075e-02	1.870e-02	3.723e-02	2.674e-02	2.516e-02	2.741e-02
1.740e+04	1.842e-02	1.733e-02	2.178e-02	3.047e-02	1.896e-02	3.507e-02	2.707e-02	2.462e-02	2.750e-02
1.750e+04	1.842e-02	1.733e-02	2.184e-02	3.047e-02	1.847e-02	3.523e-02	2.707e-02	2.451e-02	2.746e-02
1.760e+04	1.858e-02	1.733e-02	2.184e-02	3.069e-02	1.847e-02	3.555e-02	2.659e-02	2.301e-02	2.729e-02
