n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.max
1.460e+04	3.964e-01	3.593e-01	4.067e-01	2.167e-01	1.862e-01	2.602e-01	1.152e-01	1.038e-01	1.655e-01
1.470e+04	3.964e-01	3.590e-01	4.067e-01	2.171e-01	1.862e-01	2.602e-01	1.143e-01	1.024e-01	1.660e-01
1.480e+04	3.964e-01	3.590e-01	4.067e-01	2.174e-01	1.867e-01	2.598e-01	1.138e-01	1.029e-01	1.667e-01
1.490e+04	3.962e-01	3.590e-01	4.067e-01	2.188e-01	1.867e-01	2.600e-01	1.145e-01	1.021e-01	1.676e-01
1.500e+04	3.957e-01	3.590e-01	4.064e-01	2.181e-01	1.857e-01	2.605e-01	1.145e-01	1.024e-01	1.679e-01
1.510e+04	3.957e-01	3.593e-01	4.064e-01	2.176e-01	1.855e-01	2.612e-01	1.136e-01	1.024e-01	1.686e-01
1.520e+04	3.957e-01	3.593e-01	4.060e-01	2.174e-01	1.857e-01	2.617e-01	1.138e-01	1.017e-01	1.686e-01
1.530e+04	3.952e-01	3.593e-01	4.060e-01	2.174e-01	1.855e-01	2.619e-01	1.136e-01	1.017e-01	1.693e-01
1.540e+04	3.950e-01	3.590e-01	4.062e-01	2.174e-01	1.855e-01	2.617e-01	1.121e-01	1.012e-01	1.700e-01
1.550e+04	3.950e-01	3.590e-01	4.067e-01	2.176e-01	1.855e-01	2.621e-01	1.112e-01	1.005e-01	1.705e-01
1.560e+04	3.950e-01	3.590e-01	4.074e-01	2.186e-01	1.862e-01	2.629e-01	1.121e-01	9.976e-02	1.705e-01
1.570e+04	3.950e-01	3.590e-01	4.079e-01	2.188e-01	1.864e-01	2.626e-01	1.124e-01	9.976e-02	1.710e-01
1.580e+04	3.950e-01	3.590e-01	4.079e-01	2.195e-01	1.879e-01	2.629e-01	1.126e-01	9.857e-02	1.710e-01
1.590e+04	3.952e-01	3.590e-01	4.074e-01	2.202e-01	1.883e-01	2.624e-01	1.133e-01	9.833e-02	1.710e-01
1.600e+04	3.955e-01	3.586e-01	4.074e-01	2.205e-01	1.879e-01	2.621e-01	1.133e-01	9.881e-02	1.712e-01
1.610e+04	3.950e-01	3.586e-01	4.074e-01	2.214e-01	1.886e-01	2.640e-01	1.150e-01	9.786e-02	1.717e-01
1.620e+04	3.950e-01	3.586e-01	4.067e-01	2.214e-01	1.881e-01	2.643e-01	1.155e-01	9.786e-02	1.717e-01
