n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
9.000e+03	5.852e-01	5.644e-01	5.901e-01	3.770e-01	3.657e-01	3.912e-01	2.595e-01	2.394e-01	2.725e-01
9.100e+03	5.851e-01	5.645e-01	5.904e-01	3.792e-01	3.663e-01	3.914e-01	2.595e-01	2.396e-01	2.736e-01
9.200e+03	5.850e-01	5.645e-01	5.901e-01	3.794e-01	3.661e-01	3.921e-01	2.594e-01	2.399e-01	2.736e-01
9.300e+03	5.850e-01	5.645e-01	5.899e-01	3.806e-01	3.661e-01	3.930e-01	2.602e-01	2.404e-01	2.744e-01
9.400e+03	5.855e-01	5.646e-01	5.898e-01	3.806e-01	3.663e-01	3.932e-01	2.613e-01	2.414e-01	2.736e-01
9.500e+03	5.858e-01	5.646e-01	5.899e-01	3.817e-01	3.661e-01	3.933e-01	2.617e-01	2.420e-01	2.739e-01
9.600e+03	5.858e-01	5.648e-01	5.898e-01	3.837e-01	3.679e-01	3.937e-01	2.614e-01	2.419e-01	2.739e-01
9.700e+03	5.860e-01	5.648e-01	5.896e-01	3.850e-01	3.682e-01	3.937e-01	2.611e-01	2.404e-01	2.752e-01
9.800e+03	5.861e-01	5.648e-01	5.898e-01	3.862e-01	3.686e-01	3.955e-01	2.611e-01	2.405e-01	2.745e-01
9.900e+03	5.857e-01	5.645e-01	5.898e-01	3.860e-01	3.687e-01	3.983e-01	2.606e-01	2.411e-01	2.744e-01
1.000e+04	5.857e-01	5.648e-01	5.898e-01	3.860e-01	3.687e-01	3.990e-01	2.605e-01	2.408e-01	2.742e-01
1.010e+04	5.858e-01	5.648e-01	5.899e-01	3.858e-01	3.687e-01	3.989e-01	2.606e-01	2.405e-01	2.748e-01
1.020e+04	5.861e-01	5.648e-01	5.899e-01	3.861e-01	3.689e-01	3.993e-01	2.612e-01	2.396e-01	2.746e-01
1.030e+04	5.858e-01	5.648e-01	5.898e-01	3.865e-01	3.688e-01	3.994e-01	2.612e-01	2.399e-01	2.731e-01
1.040e+04	5.858e-01	5.648e-01	5.898e-01	3.861e-01	3.688e-01	3.998e-01	2.626e-01	2.399e-01	2.718e-01
1.050e+04	5.860e-01	5.648e-01	5.901e-01	3.867e-01	3.685e-01	4.000e-01	2.636e-01	2.388e-01	2.683e-01
1.060e+04	5.860e-01	5.648e-01	5.905e-01	3.880e-01	3.676e-01	4.010e-01	2.650e-01	2.377e-01	2.664e-01
1.070e+04	5.862e-01	5.648e-01	5.904e-01	3.880e-01	3.674e-01	4.011e-01	2.660e-01	2.393e-01	2.665e-01
1.080e+04	5.862e-01	5.648e-01	5.904e-01	3.880e-01	3.665e-01	4.014e-01	2.656e-01	2.393e-01	2.664e-01
1.090e+04	5.863e-01	5.646e-01	5.902e-01	3.890e-01	3.660e-01	4.021e-01	2.635e-01	2.392e-01	2.669e-01
1.100e+04	5.863e-01	5.649e-01	5.904e-01	3.889e-01	3.649e-01	4.024e-01	2.632e-01	2.388e-01	2.679e-01
1.110e+04	5.863e-01	5.649e-01	5.902e-01	3.898e-01	3.643e-01	4.017e-01	2.604e-01	2.388e-01	2.679e-01
1.120e+04	5.863e-01	5.649e-01	5.901e-01	3.900e-01	3.636e-01	4.012e-01	2.596e-01	2.380e-01	2.683e-01
1.130e+04	5.863e-01	5.650e-01	5.904e-01	3.905e-01	3.638e-01	4.015e-01	2.580e-01	2.382e-01	2.700e-01
1.140e+04	5.864e-01	5.651e-01	5.904e-01	3.905e-01	3.635e-01	4.026e-01	2.568e-01	2.371e-01	2.699e-01
1.150e+04	5.864e-01	5.654e-01	5.905e-01	3.913e-01	3.630e-01	4.031e-01	2.558e-01	2.374e-01	2.682e-01
1.160e+04	5.863e-01	5.652e-01	5.905e-01	3.924e-01	3.623e-01	4.031e-01	2.557e-01	2.368e-01	2.683e-01
1.170e+04	5.862e-01	5.652e-01	5.907e-01	3.920e-01	3.619e-01	4.033e-01	2.557e-01	2.361e-01	2.683e-01
1.180e+04	5.863e-01	5.652e-01	5.907e-01	3.930e-01	3.613e-01	4.038e-01	2.556e-01	2.352e-01	2.683e-01
1.190e+04	5.863e-01	5.651e-01	5.911e-01	3.927e-01	3.614e-01	4.040e-01	2.562e-01	2.352e-01	2.707e-01
1.200e+04	5.863e-01	5.650e-01	5.911e-01	3.930e-01	3.613e-01	4.042e-01	2.574e-01	2.350e-01	2.696e-01
1.210e+04	5.863e-01	5.650e-01	5.911e-01	3.938e-01	3.607e-01	4.035e-01	2.577e-01	2.345e-01	2.702e-01
1.220e+04	5.863e-01	5.650e-01	5.913e-01	3.942e-01	3.631e-01	4.029e-01	2.581e-01	2.343e-01	2.702e-01
1.230e+04	5.867e-01	5.644e-01	5.915e-01	3.942e-01	3.664e-01	4.029e-01	2.564e-01	2.332e-01	2.706e-01
1.240e+04	5.867e-01	5.645e-01	5.920e-01	3.943e-01	3.663e-01	4.025e-01	2.546e-01	2.327e-01	2.715e-01
1.250e+04	5.868e-01	5.645e-01	5.924e-01	3.945e-01	3.661e-01	4.027e-01	2.543e-01	2.330e-01	2.720e-01
1.260e+04	5.870e-01	5.645e-01	5.925e-01	3.942e-01	3.661e-01	4.035e-01	2.531e-01	2.311e-01	2.729e-01
1.270e+04	5.875e-01	5.645e-01	5.925e-01	3.951e-01	3.656e-01	4.043e-01	2.517e-01	2.301e-01	2.733e-01
1.280e+04	5.876e-01	5.646e-01	5.926e-01	3.955e-01	3.662e-01	4.044e-01	2.510e-01	2.287e-01	2.738e-01
1.290e+04	5.876e-01	5.646e-01	5.926e-01	3.958e-01	3.664e-01	4.042e-01	2.499e-01	2.285e-01	2.737e-01
1.300e+04	5.877e-01	5.646e-01	5.929e-01	3.976e-01	3.667e-01	4.042e-01	2.502e-01	2.286e-01	2.733e-01
1.310e+04	5.877e-01	5.645e-01	5.929e-01	3.976e-01	3.680e-01	4.042e-01	2.482e-01	2.287e-01	2.733e-01
1.320e+04	5.877e-01	5.648e-01	5.932e-01	4.001e-01	3.704e-01	4.042e-01	2.468e-01	2.288e-01	2.756e-01
1.330e+04	5.879e-01	5.648e-01	5.933e-01	4.006e-01	3.718e-01	4.040e-01	2.473e-01	2.269e-01	2.760e-01
1.340e+04	5.879e-01	5.646e-01	5.936e-01	4.011e-01	3.723e-01	4.042e-01	2.461e-01	2.270e-01	2.767e-01
1.350e+04	5.879e-01	5.646e-01	5.937e-01	4.021e-01	3.736e-01	4.048e-01	2.433e-01	2.273e-01	2.767e-01
1.360e+04	5.879e-01	5.646e-01	5.937e-01	4.030e-01	3.736e-01	4.048e-01	2.445e-01	2.271e-01	2.779e-01
1.370e+04	5.877e-01	5.646e-01	5.938e-01	4.030e-01	3.736e-01	4.051e-01	2.426e-01	2.271e-01	2.774e-01
1.380e+04	5.881e-01	5.644e-01	5.939e-01	4.040e-01	3.762e-01	4.063e-01	2.424e-01	2.255e-01	2.776e-01
1.390e+04	5.881e-01	5.642e-01	5.939e-01	4.043e-01	3.771e-01	4.065e-01	2.424e-01	2.255e-01	2.768e-01
1.400e+04	5.882e-01	5.642e-01	5.944e-01	4.052e-01	3.771e-01	4.063e-01	2.415e-01	2.250e-01	2.761e-01
1.410e+04	5.882e-01	5.642e-01	5.944e-01	4.051e-01	3.788e-01	4.064e-01	2.414e-01	2.255e-01	2.748e-01
1.420e+04	5.883e-01	5.642e-01	5.944e-01	4.054e-01	3.792e-01	4.074e-01	2.406e-01	2.256e-01	2.746e-01
1.430e+04	5.883e-01	5.640e-01	5.945e-01	4.054e-01	3.793e-01	4.074e-01	2.406e-01	2.256e-01	2.718e-01
1.440e+04	5.883e-01	5.640e-01	5.950e-01	4.057e-01	3.796e-01	4.079e-01	2.400e-01	2.258e-01	2.704e-01
1.450e+04	5.883e-01	5.642e-01	5.951e-01	4.063e-01	3.808e-01	4.083e-01	2.404e-01	2.258e-01	2.693e-01
1.460e+04	5.885e-01	5.640e-01	5.956e-01	4.070e-01	3.808e-01	4.086e-01	2.406e-01	2.258e-01	2.677e-01
1.470e+04	5.885e-01	5.640e-01	5.958e-01	4.071e-01	3.815e-01	4.094e-01	2.411e-01	2.262e-01	2.661e-01
1.480e+04	5.886e-01	5.640e-01	5.958e-01	4.070e-01	3.825e-01	4.090e-01	2.414e-01	2.262e-01	2.664e-01
1.490e+04	5.886e-01	5.643e-01	5.958e-01	4.071e-01	3.835e-01	4.089e-01	2.433e-01	2.271e-01	2.667e-01
1.500e+04	5.886e-01	5.644e-01	5.957e-01	4.069e-01	3.842e-01	4.104e-01	2.433e-01	2.271e-01	2.652e-01
1.510e+04	5.885e-01	5.648e-01	5.958e-01	4.076e-01	3.851e-01	4.106e-01	2.455e-01	2.271e-01	2.624e-01
1.520e+04	5.886e-01	5.648e-01	5.958e-01	4.076e-01	3.857e-01	4.113e-01	2.446e-01	2.283e-01	2.620e-01
1.530e+04	5.889e-01	5.644e-01	5.961e-01	4.077e-01	3.867e-01	4.118e-01	2.443e-01	2.285e-01	2.618e-01
1.540e+04	5.890e-01	5.643e-01	5.961e-01	4.081e-01	3.876e-01	4.117e-01	2.448e-01	2.289e-01	2.617e-01
1.550e+04	5.888e-01	5.643e-01	5.962e-01	4.082e-01	3.876e-01	4.127e-01	2.465e-01	2.292e-01	2.617e-01
1.560e+04	5.889e-01	5.643e-01	5.965e-01	4.085e-01	3.880e-01	4.132e-01	2.479e-01	2.305e-01	2.617e-01
1.570e+04	5.889e-01	5.643e-01	5.973e-01	4.087e-01	3.889e-01	4.143e-01	2.492e-01	2.305e-01	2.618e-01
1.580e+04	5.888e-01	5.643e-01	5.973e-01	4.087e-01	3.890e-01	4.146e-01	2.496e-01	2.300e-01	2.620e-01
1.590e+04	5.888e-01	5.644e-01	5.973e-01	4.087e-01	3.890e-01	4.151e-01	2.502e-01	2.300e-01	2.620e-01
